341;JUDEȚUL TELEORMAN;0;34;1;40;1;0;3;36;;;3600000000000;;
151790;MUNICIPIUL ALEXANDRIA;0;34;341;1;2;1;3;36;36;;3611674000000;II;
151807;ALEXANDRIA;0;34;151790;9;3;1;3;36;3611674;1000126;3611674100127;II;
151692;TURNU MĂGURELE;145200;34;151683;9;3;1;3;36;3621762;1012305;3621762112322;II;
152029;TECUCI;147007;34;151996;23;3;3;3;36;3650113;3011936;3650113711906;V;
152038;BĂBĂIȚA;0;34;341;3;2;3;3;36;36;;3650138000000;IV;
152207;TÂRNAVA;147027;34;152172;23;3;3;3;36;3650335;3011907;3650335712074;V;
152216;TUNARI;147028;34;152172;23;3;3;3;36;3650335;3012272;3650335712291;V;
153366;TELEORMANU;147202;34;153339;23;3;3;3;36;3651617;3011970;3651617711939;V;
153758;ȚĂVÂRLĂU;147276;34;153696;23;3;3;3;36;3652224;3012342;3652224712359;V;
153963;TUDOR VLADIMIRESCU;147302;34;153936;23;3;3;3;36;3652443;3012241;3652443712266;V;
154521;TALPA;0;34;341;3;2;3;3;36;36;;3652786000000;IV;
154530;TALPA-OGRĂZILE;147386;34;154521;22;3;3;3;36;3652786;1011749;3652786311766;IV;
154576;TALPA POȘTEI;147383;34;154521;23;3;3;3;36;3652786;3011747;3652786711764;V;
154567;TALPA-BÎSCOVENI;147384;34;154521;23;3;3;3;36;3652786;3011748;3652786711765;V;
154585;TĂTĂRĂȘTII DE JOS;0;34;341;3;2;3;3;36;36;;3652810000000;IV;
154594;TĂTĂRĂȘTII DE JOS;147390;34;154585;22;3;3;3;36;3652810;1011846;3652810311863;IV;
154665;TĂTĂRĂȘTII DE SUS;0;34;341;3;2;3;3;36;36;;3652811000000;IV;
154674;TĂTĂRĂȘTII DE SUS;147400;34;154665;22;3;3;3;36;3652811;1011847;3652811311864;IV;
154736;TRAIAN;0;34;341;3;2;3;3;36;36;;3652880000000;IV;
154745;TRAIAN;147405;34;154736;22;3;3;3;36;3652880;1012176;3652880312200;IV;
154754;TRIVALEA-MOȘTENI;0;34;341;3;2;3;3;36;36;;3652890000000;IV;
154763;TRIVALEA-MOȘTENI;147410;34;154754;22;3;3;3;36;3652890;1012228;3652890312243;IV;
154790;TROIANUL;0;34;341;3;2;3;3;36;36;;3652891000000;IV;
154807;TROIANUL;147415;34;154790;22;3;3;3;36;3652891;1012233;3652891312250;IV;
154816;DULCENI;147416;34;154790;23;3;3;3;36;3652891;3004377;3652891704383;V;
154825;VATRA;147417;34;154790;23;3;3;3;36;3652891;3013065;3652891713082;V;
154834;ȚIGĂNEȘTI;0;34;341;3;2;3;3;36;36;;3652925000000;IV;
154843;ȚIGĂNEȘTI;147420;34;154834;22;3;3;3;36;3652925;1012382;3652925312396;IV;
350;JUDEȚUL TIMIȘ;0;35;1;40;1;0;5;37;;;3700000000000;;
155243;MUNICIPIUL TIMIȘOARA;0;35;350;1;2;1;5;37;37;;3711756000000;I;
155252;TIMIȘOARA;0;35;155243;9;3;1;5;37;3711756;1012030;3711756111999;I;
298;JUDEȚUL PRAHOVA;0;29;1;40;1;0;3;31;;;3100000000000;;
132173;BABA ANA;107035;29;132164;22;3;3;3;31;3150104;1000391;3150104300392;IV;
181;JUDEȚUL GORJ;0;18;1;40;1;0;4;20;;;2000000000000;;
77812;MUNICIPIUL TÂRGU JIU;0;18;181;1;2;1;4;20;20;;2011758000000;II;
77821;TÂRGU JIU;0;18;77812;9;3;1;4;20;2011758;1011892;2011758112057;II;
78944;BÂRZEIU;217071;18;78926;23;3;3;4;20;2050224;3000878;2050224701114;V;
10;JUDEȚUL ALBA;0;1;1;40;1;0;7;1;;;0100000000000;;
1874;MUNICIPIUL SEBEȘ;0;1;10;4;2;1;7;1;01;;0121745000000;II;
1883;SEBEȘ;515800;1;1874;9;3;1;7;1;0121745;1010791;0121745110698;II;
4945;BUCERDEA VÂNOASĂ;517361;1;4927;23;3;3;7;1;0151308;3001710;0151308701711;V;
403;MUNICIPIUL BUCUREȘTI;0;40;1;40;1;0;8;42;;;4200000000000;;
179132;MUNICIPIUL BUCUREȘTI;0;40;403;9;2;1;8;42;42;;4261687000000;0;
179141;BUCUREȘTI SECTORUL 1;0;40;179132;6;3;1;8;42;4261687;1001759;4261687401760;0;
179150;BUCUREȘTI SECTORUL 2;0;40;179132;6;3;1;8;42;4261687;1001760;4261687401761;0;
179169;BUCUREȘTI SECTORUL 3;0;40;179132;6;3;1;8;42;4261687;1001761;4261687401762;0;
179178;BUCUREȘTI SECTORUL 4;0;40;179132;6;3;1;8;42;4261687;1001762;4261687401763;0;
179187;BUCUREȘTI SECTORUL 5;0;40;179132;6;3;1;8;42;4261687;1001763;4261687401764;0;
179196;BUCUREȘTI SECTORUL 6;0;40;179132;6;3;1;8;42;4261687;1001764;4261687401765;0;
47;JUDEȚUL BACĂU;0;4;1;40;1;0;1;4;;;0400000000000;;
20297;MUNICIPIUL BACĂU;0;4;47;1;2;1;1;4;04;;0411676000000;I;
20304;BACĂU;0;4;20297;9;3;1;1;4;0411676;1000397;0411676100398;I;
20484;BARAȚI;607316;4;20466;23;3;3;1;4;0451537;3000494;0451537700495;V;
20493;LUNCANI;607317;4;20466;23;3;3;1;4;0451537;3006858;0451537706866;V;
270;JUDEȚUL NEAMȚ;0;27;1;40;1;0;1;29;;;2900000000000;;
120726;MUNICIPIUL PIATRA-NEAMȚ;0;27;270;1;2;1;1;29;29;;2911732000000;II;
120735;PIATRA-NEAMȚ;0;27;120726;9;3;1;1;29;2911732;1008833;2911732108797;II;
